streetAddress,zipcode,description,latitude,longitude,hasCooling,hasGarage,hasHeating,parkingSpaces,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories,pr_sqft
3206 Garden Villa Ln #A,78704,"Stunning 3 bed, 2.5 bath 2-story condo w/private backyard in highly desirable 78704!Open concept layout w/lots of natural light.Living room has high ceilings,recessed lighting,architectural detail&concrete flooring throughout main level.Modern kitchen has granite countertops,subway tile backsplash,SS appliances,custom cabinetry&breakfast area.Main level master suite includes 2 closets&private master bath.Two bedrooms upstairs,full bath&loft/office space.Private backyard w/storage shed&crushed rock patio.",30.2359581,-97.76941681,1,1,1,2,595000,7840,1504,3,3,2,396
1205 W 44th St,78756,"Open and spacious property with a separate cottage, private alley access, and cozy vibes is the best kept secret in Central Austin. Nestled in the quiet Rosedale neighborhood between Burnet and North Lamar, this ""down to the studs remodeled"" one story is the one you'll want to call home! The main 2 bedroom, 2 bathroom home includes completely new windows, floors, and a tankless water heater. The open kitchen with modern finishes is bright and airy - leads to a convenient laundry room and the massive master bedroom. The bones of this home are great with a solid foundation and new plumbing, electrical, and HVAC. The 1 bedroom, 1 bathroom cottage in back of the home includes a kitchen and separate laundry facilities. This unique cottage with alleyway access can be rented for income, used as a home office, or can simply be a guest house. Steps from Ramsey Park, Central Market, and tons of restaurants. Family friendly neighborhood with great schools (Bryker Woods) and community activities.",30.31293297,-97.74066162,1,1,1,2,685000,6500,1618,3,3,1,423
7509 Wisteria Valley Dr,78739,"This exceptional Meridian property has a wide open floorplan, tile floors, a covered front porch and expansive back deck. The master bedroom and bath are downstairs, along with a 2nd bedroom/office with full bath and sunroom off the kitchen. Upstairs features three large secondary bedrooms, playroom and media room. The parklike backyard has an expansive deck, a fire pit and is perfect for morning coffee, afternoon cookouts and evening s'mores!",30.1853466,-97.91928864,1,0,1,0,595000,10018,3892,4,5,2,153
11005 Cherisse Dr,78739,"Beautiful Meritage home on the Greenbelt. Master on main level with high ceilings. Bright family room opens to the gourmet kitchen with granite countertops & double oven. Fenced backyard with covered patio is ideal for entertaining guests. Spacious gameroom upstairs with 3 bed and 2 bath. Large garage with abundant storage. Convenient location, walking distance to Baldwin Elementary, 15 mins to central Austin. The open floor plan, upgrade features & location make this a special home.",30.18526077,-97.92481232,1,0,1,0,457000,7361,2931,4,4,2,156
2200 Langford Cv,78723,"This amazing remodel in Windsor Park stuns w/ airy, open concept design! Engineered hickory hardwood floors throughout are highlighted by new paint, fixtures & doors. Kitchen boasts spacious quartz countertops + stylish Saltillo backsplash! Living room delights w/ welcoming fireplace & sliding doors onto huge, covered back patio. Century+ old oak tree provides precious shade, coupled w/ new privacy fence - great for entertaining! <10 mins to Mueller, <15 to UT/Downtown. Zip around town via 290/I-35/183!",30.3097496,-97.6857605,1,0,1,0,449900,10018,1564,2,3,1,288
10619 Denell Cir,78753,"10619 Denell Cir, Austin, TX 78753 is a single family home that contains 1,714 sq ft and was built in 1972. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $417,787. The Rent Zestimate for this home is $1,850/mo. ",30.36782837,-97.67275238,1,1,1,2,400000,14810.4,1714,2,3,1,233
4329 Canyon Glen Cir,78732,"This three bed two bath two bath home is located close to parks ans schools and is detailed through out. The kitchen boasts beautiful wood floors, granite counter tops, stainless appliances and new light fixtures. This house is perfect!",30.3828392,-97.88814545,1,0,1,0,320000,6011,1719,2,3,1,186
1908 Mariachi Ct,78732,"1908 Mariachi Ct, Austin, TX 78732 is a single family home that contains 3,500 sq ft and was built in 2004. It contains 5 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $769,446. The Rent Zestimate for this home is $3,100/mo. ",30.35735893,-97.90164948,1,0,1,0,650000,13068,3500,3,5,1,186
5803 Trailridge Cir,78731,"1950's classic single story home in Highland Hills. This 2,422 sq ft, 3 bed 2 bath in main house & separate garage studio w/ full bath & kitchenette has original fixtures. This open floor plan is ready for someone to put their own personal touch or renovation. Located on a quiet cul-de-sac;expansive .29 acre lot is a great space for kids & pets to run & play. Zoned in sought after Highland Park elementary. Covered front & back porch provides shade on hot days & is perfect for relaxing or entertaining.",30.34025192,-97.75613403,1,1,1,4,589000,12632.4,2422,2,3,1,243
2300 Doris Dr #B,78757,"2300 Doris Dr #B, Austin, TX 78757 is a condo home that contains 1,792 sq ft and was built in 2011. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $477,410. The Rent Zestimate for this home is $2,250/mo. ",30.36432838,-97.72758484,1,1,1,2,324900,7840,1792,3,3,2,181
2302 Nathan Dr,78728,"Beautiful family home in highly sought after Wells Branch, steps from the park and Mills pond!  One of the largest lots in the neighborhood - huge backyard and an amazing deck for entertaining. Vaulted ceilings and a wood burning fireplace in the family room. Master Suite with Double Vanity and His & Hers Closets. $30k of recent improvement includes Solar Panels, energy efficient windows (entire house) new flooring, paint and much more! This one will not last long.",30.44987488,-97.67771912,1,0,1,0,285000,9321,1602,3,3,2,178
1811 Richcreek Rd,78757,"1811 Richcreek. Excellent Pier and Beam 2 full bedroom, 1 bathroom CRESTVIEW starter Home with 1 car carport and storage  shed in back. All Hardwood Floors, Semi-Update Kitchen. Welcoming Ambiance. Peaceful CRESTVIEW neighborhood street. North Central Austin.   .1697 ACRE lot per TCAD appraisal district. SURVEY in ATTACHMENTS on File.  Owner does have a signed, verified tenant LEASE on the home start  June 1st, for 1 year @ $1700 per month.",30.34771347,-97.72903442,1,1,1,2,395625,7405,997,1,2,1,397
7409 Sunset Heights Cir #F-10,78735,"Beautiful 3 bedroom ""green"" home in gated community with backyard view of downtown Austin. Home features include flex room that could be office or 4th bedroom downstairs. Open floor plan with island kitchen, granite counters and stainless appliances. Master on the second level with sitting alcove, double vanity, walk in shower, garden tub and large walk in closet. Bonus room, laundry and 2 add'l bedrooms and bath upstairs. Award winning HOA with pool and just 15 minutes to downtown, Westlake and Lakeway.",30.2453022,-97.87394714,1,0,1,0,369900,12632.4,2311,3,3,2,160
5709 Meadow Crst,78744,"Pristine updated home with fresh paint in and out, new roof August 2019, new vanities, tubs, toilets, tile surrounds, faucets, lights and hardware in both baths. Kitchen has new cabinets, granite, lighting, faucets,  and stainless appliances. New carpets in bedrooms, the rest of the flooring is tile. New door knobs, light/fans really show off this home. Kitchen is open to family room and one secondary bedroom is huge. Seller to transfer house with special warranty deed.",30.19170761,-97.73330688,1,0,1,0,234950,5793,1228,2,3,1,191
1820 Shaker Trl,78754,"Beautiful Home! Pride of Ownership. Ideal Floor Plan. Recent upgrades include 2018 SS Appliances, Cedar Fence, New Composite Deck and  Sod, Wired for Security and Surround Sound. This Home is Gorgeous. Very Peaceful backyard setting. 5 miles to Domain 10 miles to Downtown,  Very Convenient to Dell/Apple/Samsung and other Major Austin Employers. New Shops and development all around. Typical Foundation settling for the neighborhood. Foundation fixed with a lifetime Warranty. Please call or text BOTH owners.",30.37628365,-97.65167236,1,1,1,2,274900,7230,1889,2,3,1,146
108 Piedmont Hills Pass,78732,"For Sale in MLS #4791124 by Creekview Realty (512) 444-8778.
Taylor Morrison Buckingham plan with tiled courtyard, 1.5 story home on a .32 acre lot with large trees in backyard on a low traffic street. The home features a rare 4 Car Garage with epoxy floors and a large 10.75 Kw Solar System (owned not leased). Extensive wood flooring throughout the house. The kitchen has stainless appliances and artisan granite countertops with an oversized island that is open to the family room. The utility room has a granite countertop with stainless steel sink. The house has 4 bedrooms and 3 ½ baths plus a formal office with French doors. The gas ceramic log fireplace is a see through design visible from the family room and dining room. Lots of storage. ",30.34168053,-97.90332031,1,1,1,4,750000,13939.2,4056,4,4,1,185
3824 Yarborough Ave,78744,"3824 Yarborough Ave, Austin, TX 78744 is a single family home that contains 2,214 sq ft and was built in 2006. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $298,776. The Rent Zestimate for this home is $1,895/mo. ",30.19718742,-97.69514465,1,1,1,2,265000,4996,2214,3,4,2,120
6813 Joyce St,78757,"This adorable ranch-style bungalow sits on a peaceful Allandale Street. Light streams in at every corner, giving the space a larger feel than the square footage presumes. An open kitchen leads seamlessly into the dining and living areas. Fantastic flow in this unassuming space. The primary bedroom features an oversized walk-in closet. With a sprawling, private backyard, the possibilities for an extension and/or a pool are limitless. Short and scenic walk/bike/ride to to Northwest District Park and Gullett Elementary. Minutes to numerous restaurants on Burnet and West Anderson, great for a multitude of Covid-era take out options.",30.34571648,-97.73972321,1,1,1,2,565000,8886,1088,2,2,1,519
1208 Radcliff Dr,78752,"One story remodel comfortably situated on a sizable lot! The home boasts a breathtakingly open & bright living & kitchen space, a 3 car tandem garage, and a sunken & oversized utility room equipped w/ garage & backyard access. Wide galley style kitchen includes breakfast bar, gas range w/ venthood, built in microwave, farmhouse sink, & plenty of cabinet storage. Uber efficient w/ new Roof, Windows, WH, Trane AC, ductwork, attic insulation & more. Master includes dbl vanities, walk in shower & closet. GO!",30.32833862,-97.69275665,1,1,1,3,439900,9626,1766,2,3,1,249
3106 Whitepine Dr,78757,"Fully updated Allandale home has features often missing in remodels.  2940 ft, open spaces, bright modern feel. Huge Master bed, bath, closet. 5x5 shower w rain, niche. Split plan w big bedrooms for kids. Open great room w kitchen, island, family room, dining, and bar.  Sep entrance upstairs 725 sq ft bed/guest/office/flex room with bath.  Arizona room patio plus 42 ft cvd patio. Wood, tile floors, quartz counters, stainless appliances. Come See all the finishes. And still room to run in the back yard.",30.35766411,-97.74131012,1,0,1,0,845000,9801,2940,3,4,2,287
10612 Marshitahs Way,78748,"Lovely 3 bedroom, 1 bath, two story home in quiet neighborhood in Southwest Austin. No through streets. New HVAC, bamboo floors, enormous closet in master. Laundry room upstairs adjacent to bathroom for conviniency. Wired for security system. Attached one car garage with remote. Privacy fenced backyard with covered patio and several established trees. Greenbelt down the street! Priced to sell at...Come see!",30.16098595,-97.82606506,1,0,1,0,230000,4399,1350,1,3,2,170
11150 Rio Vista Dr,78726,"Don't miss this move-in ready Canyon Creek charmer close to Canyon Creek Elementary~Updated & meticulously maintained~Updated kitchen with granite counters, SS appliances, solid surface cook-top~Downstairs owners retreat opening to stunning bath re-model w/over-sized seamless glass shower, quartz counters~Well appointed bed rooms, updated baths, relaxing patio w/magnificent trees/ a private park-like backyard~Recent interior paint*HVAC replaced-17 SEER 4 ton unit~Water heater replaced-2014,Carpet 6/2020Restrictions: Yes",30.43614769,-97.82756805,1,1,1,2,519900,6054,2766,3,4,2,188
11200 Blossom Bell Dr,78758,"Wonderfully maintained 1 story home with 3 bedrooms and 2 baths.  New double pane windows, tile thru out the house, handicap bath tub in master bath.  Nice back yard with big covered deck.  Available NOW.",30.38620186,-97.70052338,1,1,1,2,334900,8319,1563,2,3,1,214
814 Theresa Ave,78703,"You'll feel the character and romance of this charming 1-story bungalow in desirable historic Clarksville as soon as you arrive at this property. Minutes from Downtown Austin, this 1925 craftsman-style home has 3 bedrooms and 2 baths. Unlike most historic homes, recent renovations have opened up the floor plan so that the living room with wood-burning fireplace, dining room, and kitchen flow together as one space. Upon entering, you'll fall in love with the antique pine floors that add warmth and character to the room. You will also appreciate the large windows that fill each area with light and highlight the magnificent original built-ins that line the fireplace wall. Regardless of the season, there is nothing like sitting beside a fire with softly flickering flames and the sound of crackling wood. What better place to end your day than in a cozy leather chair in this meticulously cared for home? This home feels larger than its footprint. Imagine entertaining in your gorgeous gourmet kitchen. As your guests sip wine, you can socialize as you wash veggies fresh from the market in your farmhouse sink. Then, serve your guests at the table as they are drawn into the dining area by the smell of a sumptuous meal and the clatter of dishes. After dinner, your guests will flow back into the living room for after dinner drinks and stimulating conversation. Then, when you retire for the night in your master bedroom, you can open the French doors to the back deck where you can relax and enjoy the privacy of your fenced yard. Grab a glass of wine and turn up the music as you enter your spa-like bath with marble tile floors, marble counters, and frameless glass shower. Or, a soak in your elegant claw-foot tub might be even more relaxing. If your guests stay over, there are two rooms that are suitable as bedrooms or a home office. In the morning, step off the raised rear deck onto beautiful, maintenance-free turf that is so much like grass you won't believe your eyes. It is perfect for lawn games or pets throughout the year. You'll love exploring this neighborhood. Walk down the street and find the trailhead to Lady Bird Lake or around the corner to Clarksville Park and Splash Pad. With Austin ISD's highly-rated Matthews Elementary less than a half mile away, this is a good choice for those with elementary-age students at home. You'll also love meeting neighbors at social activities at Clarkesville Park at events like Summer outdoor movies and ice cream socials at the community center. Your busy life will become easier now that you can bike to big events like SXSW at Zilker Metropolitan Park and pick up groceries at Fresh Plus, Whole Foods, or Trader Joes. Clarksville is part of Old West Austin and just minutes from the heart of Downtown Austin. One option is to leave your car parked and bike into the city. Clarksville is known for having an authentic Austin vibe. The city also protects and celebrates its earliest history. While new homes may go under construction, they must meet the guidelines of the Clarksville Historic District. This home brings with it the best of old and new. Capturing the simplicity and quality of construction of the era, your home joins other remarkable properties in this lovely, shaded setting. For a vintage property, 814 Theresa Avenue is among the best on the market. ",30.28076744,-97.76563263,1,0,1,0,330000,6098,1478,2,3,1,223
8022 Doe Meadow Dr,78749,"This 4 bedroom home has so much to offer. Interior features include 2 living areas with hardwood flooring on the main level. You'll love the updated kitchen with granite counters, tile backsplash and beautiful cabinetry. Large master en-suite with spacious bath and walk-in closet with built-in shelving and storage. The shady, backyard oasis offers extended decks, a fire-pit and storage building for the outdoor equipment. Located across from a Greenbelt with plenty of walking trails to enjoy!",30.21633911,-97.86772919,1,1,1,2,450000,9583,2199,3,4,2,205
2619 W 49th 1/2 St,78731,"Gorgeous 3 bed + studio craftsman in desirable central Austin neighborhood. Updated throughout this home offers hardwoods, tall ceilings, spacious bedrooms and large private back yard. 3 beds on main level. Access loft + studio from back stairs - ideal for separate office space. Art or yoga studio detached behind house. Lush trees, wide streets and easy access to downtown! Refrigerator being installed. Do not miss this one!",30.32450294,-97.7485199,1,1,1,2,625000,8886,2164,2,3,2,289
3925 Sierra Dr,78731,"Rare chance to purchase a lot in Northwest Hills and build your dream house with downtown Austin and Hill Country views. Heritage trees are in lot setbacks so plenty of room to build.  There is an existing home on the property which is considered a tear down. It is not historic, just the home built by the original owners in the 1960's without regard for the view and in poor condition with no updating, so it is considered obsolete.
            Build the home you want in one of the most desirable neighborhoods in Austin.",30.35311127,-97.76651001,1,1,1,2,850000,15246,2930,5,3,1,290
3601 Cherry Ln,78703,"3601 Cherry Ln, Austin, TX 78703 is a single family home that contains 2,778 sq ft and was built in 2016. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $1,966,007. The Rent Zestimate for this home is $7,823/mo. ",30.29710388,-97.78016663,1,1,1,4,1535000,7405,2778,4,4,2,553
421 Racetrack Dr,78748,"Picturesque, well-maintained 1-story home in desirable Stablewood at Slaughter Creek. Open concept layout with windows throughout flood the home with natural light. Large master retreat features recently updated spa-like walk-in shower, dual sink vanity, and large walk-in closet. Enjoy the covered patio and a fully shaded evening yard to the serene sounds of the water feature. Quaint pool community features jogging trails, playground, splash pad coming, and convenient access to Southpark Meadows.",30.14571953,-97.81225586,1,1,1,2,207000,7797,1776,2,3,1,117
182 Running Water Way,78737,"Luxurious former model home with $120K plus in upgrades, & the BEST lot & views in Highpointe! This 1.5 story open-concept floor plan offers 3 bedrooms, 3.5 bathrooms, 3,508 SQ FT, executive office, formal dining, gorgeous sunroom, upstairs bonus room with kitchenette, & separate media room. Other features include elegant hardwood floors, crown molding, speaker & security system, built-in shelving, beamed & coffered ceilings, & gas fireplace. Cul-de-sac street & oversized lot backing to pond & greenbelt!",30.17106628,-98.00124359,1,1,1,2,580000,13068,3508,4,3,2,165
8517 Spearman Dr,78757,3 bedroom 2 bath Wooten Terrace home located on a partial cul-de-sac. Carpeting installed Jan 2018. Some of the rooms have been painted.  Good size yard. Close to shopping and major roads.,30.36395645,-97.72104645,1,0,1,0,300000,6926,1208,2,3,1,248
4607 Sara Dr,78721,"FOR SALE:: Builder’s Rehab / New Build, Perfect Location 
4607 Sara Drive, 78721. Price: $250,000.  4 Bedrooms, 2 Baths 
Generous size lot @ 8525 sq.ft.  Ideal location for duplex 
or  build  2 custom Homes.  To add desert to your meal, buy the house
next door and build 4 houses or 2-duplexes...4609 Sara Drive. 
Price: $260,000. Lot size @ 10,000 sq.ft.  ",30.27141571,-97.69077301,1,0,1,0,525000,8537,1974,4,4,1,266
4041 Dominion Cv,78759,"4041 Dominion Cv, Austin, TX 78759 is a single family home that contains 2,645 sq ft and was built in 1995. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $594,507. The Rent Zestimate for this home is $2,850/mo. ",30.38344383,-97.74752045,1,0,1,0,550000,12196.8,2645,3,3,2,208
7101 Siepel Dr,78724,"4 Bedroom/2 Full Bath Home in Cul-de-Sac~Low Maintenance and Great Floor Plan~Kitchen Opens to Breakfast Area and Family Room~Master Has Large Walk-In Closet~Lots of Storage Throughout Home~Covered Front Porch Perfect For a Comfy Bench Or Swing~Nice Sized Yard with Deck~No Carpet~Centrally Located in Between 290, 183, I-30 and I-35~A Quick 25 Minute Drive to Downtown Austin~Take a Swim, Kayak, Fish, Jog or Even Camp out at Walter E Long Lake and Park Which is Just 7 Minutes Away!",30.3020649,-97.63921356,1,0,1,0,180000,8494,1430,2,4,1,126
11708 Running Fox Trl,78759,"This 3 bedroom 2 bathroom gem is a must see! The endless features of this home include hardwood floors, granite kitchen countertops, open floor plan, and HEATED pool with expansive patio. The perfect entertaining space to host family and friends! Located between The Domain and Arboretum. Zoned to fantastic schools.  Walk to neighborhood parks and enjoy the easy access and commute to 183 and Mopac.",30.41198349,-97.73551941,1,1,1,2,264935,7274,1404,2,3,1,189
1912 Geniveive Ln #274C,78741,"BEST &  FINAL OFFERS TO BE SUBMITTED BY 8AM SUN APR 14TH. Lock and Leve! Spacious two story, detached condo with large green space to one side AND  attached 1 car garage. Sunny and bright! New Paint and New Carpet in April 2019. Built in office/desk area. Storage and laundry room on first floor. Main living area on second floor. Kitchen is open to both the breakfast and dining areas.  Shaded yard with large fenced area that is unique for the neighborhood! Located just down the street from the neighborhood pool.  Gated community located minutes from Lake Shore District, Downtown Austin and East Austin with easy access to I-35 and St. Edward's University. Gated Community with community pool, dog park, green spaces.  Garage closest to this unit's front door belongs to this condo.",30.22457886,-97.74031067,1,0,1,0,233999,7840,966,1,1,2,242
2115 Brackenridge St,78704,"Move-in ready, warm and contemporary oasis in the heart of central Austin, steps from restaurants and shops on Congress, and around the corner from walking trails and Big Stacy Pool. Open floor plan is ideal for entertaining. Two large living areas for relaxing and lounging. Wide-plank wood floors, premium calacatta gold Silestone countertops, custom cabinetry, and large windows. Low-maintenance exterior. Landscaping is a blank slate. Builder is ready for your blue-tape walkthrough and requests for finishing touches.",30.24137688,-97.7501297,1,1,1,4,895000,6098,2310,3,4,2,387
8410 Daleview Dr,78757,"OPEN SUN, 11/2, 2-4PM~OVER $65,000 IN UPDATES/IMPROVEMENTS (2018) in desirable Allandale Estates~Hardie siding all sides~Tankless gas H2O heater~Dbl pane low-E vinyl windows~Interior/Exterior Paint~SS Appliances~Black granite kitchen counters w/ white cabinets & wine fridge opens to large family room~Remodeled master bath w/ dbl vanity, quartz counters, walk-in closet~French doors to large covered patio w/ metal roof~Tree-shaded yard w/ workshop~HVAC condenser & air handler (2010)~Walk to Pillow Elem",30.36925316,-97.73601532,1,1,1,2,455000,8494,1619,2,3,1,281
474 Sand Hills Ln,78737,"474 Sand Hills Ln, Austin, TX 78737 is a single family home that contains 2,788 sq ft and was built in 2015. It contains 3 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $524,425. The Rent Zestimate for this home is $2,900/mo. ",30.17925644,-97.97806549,1,1,1,3,500000,6825,2788,4,3,1,179
2428 Jarratt Ave,78703,"2428 Jarratt Ave, Austin, TX 78703 is a single family home that contains 3,704 sq ft and was built in 1932. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $2,081,706. The Rent Zestimate for this home is $5,000/mo. ",30.29374695,-97.75756073,1,1,1,3,1150000,9583,3704,4,4,2,310
1302 Cedar Ave,78702,"1302 Cedar Ave, Austin, TX 78702 is a single family home that contains 1,208 sq ft and was built in 1925. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $526,942. The Rent Zestimate for this home is $2,400/mo. ",30.27611351,-97.71350098,1,0,1,0,94900,3049,1208,2,3,1,79
9706 Delgado Way,78733,"9706 Delgado Way, Austin, TX 78733 is a single family home that contains 2,500 sq ft and was built in 2006. It contains 3 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $535,777. The Rent Zestimate for this home is $2,516/mo. ",30.3377037,-97.86425018,1,0,1,0,585000,14810.4,2500,4,3,1,234
3307 Sanderling Trl,78746,"Move-in ready, close-in Westlake home at a great price! Lives larger than its size with great natural light, open floor plan for entertaining, updated kitchen & baths, & spacious master! Updated with wood floors, plantation shutters, & granite/stainless & wine fridge.  Enjoy the spacious covered patio, flat, private backyard, & low maintenance landscaping. Walkable to restaurants, retail, fitness & grocery! Exemplary Eanes ISD. *Appliances convey & furnishings negotiable*",30.27290154,-97.80299377,1,1,1,2,675000,7579,1585,2,3,1,426
401 Westmorland Dr,78745,Charming home located in sought after south Austin.  This mid-century home was built in 1969 and has only been owned by two family members.  This homes beckons your ideas and craftsmanship to make it your own.   Three bedrooms and one full bath.  Good bones.,30.20832825,-97.76747894,1,0,1,0,287000,7187,972,1,3,1,295
1921 University Club Dr,78732,"Copy/paste link for 3D tour: bit.ly/1921University3D. Within the gates of the prestigious UT Golf Club in Steiner Ranch awaits this stunning luxury home! Nestled on a large lot that backs to the scenic Hole 14 of the UT golf course, this golfers paradise is within strolling distance of the UT Golf Club. Experience Texas hill country living taking in miles of hill country views from the 2nd story covered balcony! Be welcomed by a dramatic two-story entry and a spacious open floor plan that whispers luxury throughout. Entertain in the island kitchen with stainless steel appliances and breakfast area with wet bar all overlooking the family room and capturing the amazing views through a wall of windows. Fabulous master suite plus a guest room on main. 3 additional guest rooms and an oversized game room upstairs. The extended outdoor patio with built-in kitchen is designed to be a great entertaining space! large backyard overlooking the golf course.",30.35135651,-97.89333344,1,1,1,3,800000,9670,4134,4,5,2,194
705 W Johanna St #A,78704,"Beautiful townhouse surrounded by pecan trees with dramatic curves & natural light. One of only 4 units, it lives like a single family with 1 car garage and a fenced yard perfect for dogs. Garage has been used as 3rd bedroom/study. Interior is freshly painted in a sophisticated french tone-on-tone cream. Numerous extra cost upgrades. Huge rooftop terrace has lights, water, gas, & a downtown view. Meticulously maintained and pre-inspected. Google Fiber installed. Priced under recent appraisal.",30.24597168,-97.7591095,1,1,1,2,619500,7840,1997,4,2,2,310
8614 Stillwood Ln,78757,\,30.37067986,-97.73045349,1,0,1,0,589000,8581,1912,2,4,1,308
2400 Canterbury St,78702,"Labeled SF-3 Excellent location! You'll be kicking yourself in 5 years for not jumping on this one. Keep the 2400 Canterbury and make it special and build you a second unit behind it with alley access. Live across of a public kid and adult pool.  Walk to Lady Bird lake and enjoy bass fishing,hiking,biking,jogging,picnic,stand up paddle boarding and so much more. 2 blocks from Restaurants, bars and breweries on Cesar Chavez. Hello, that's walking distance! Choose your lifestyle, I like this one! 1632 GLA per Appraiser.",30.25305367,-97.71831512,0,0,0,0,450000,6403,1632,1,3,1,276
6206 Cannes Cir,78745,"6206 Cannes Cir, Austin, TX 78745 is a single family home that contains 1,504 sq ft and was built in 1977. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $524,251. The Rent Zestimate for this home is $2,249/mo. ",30.21477509,-97.81401825,1,0,1,0,439950,6969,1504,2,3,1,293
9400 Billingham Trl,78717,"$1900/month Single Family Home in golf course community! Beautiful 4br/2.5ba home in highly desirable Avery Ranch! Interior boasts many upgrades including wood & tile floors, high ceilings, open kitchen/living, granite counters and tile backsplash, large center island, window seats, 42"" cabinets, loads of natural light and much more. Beautiful and spacious back yard, fully fenced, covered patio, with easy access to all neighborhood amenities. Top Rated RRISD.

Neighborhood Description

Highly desirable Avery Ranch Golf Community with great access to major Austin thruways. Close to shopping, dining, entertainment, neighborhood pools, parks playgrounds and more!",30.50860786,-97.74746704,1,0,1,0,229900,6969,2261,2.5,4,2,102
11716 Larch Valley Dr,78754,"11716 Larch Valley Dr, Austin, TX 78754 is a single family home that contains 1,636 sq ft and was built in 2004. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $302,625. The Rent Zestimate for this home is $1,795/mo. ",30.37749672,-97.65362549,1,1,1,2,285000,6098,1636,2,3,1,174
9501 Savannah Ridge Dr,78726,"Choose Round Rock ISD (Canyon Creek, Grisham, & Westwood) or Leander ISD (Grandview Hills, Four Points, & Vandegrift) as district boundary lines run through this lot! Island kitchen w/ granite, 42"" cherry cabinets, stainless steel apps, & walk-in pantry. Open family room w/ fireplace. Living room makes a great office. Master bedroom w/ 2 walk-in closets, whirlpool tub, separate shower, & 2 sinks. Nice-sized secondary bedrooms & an upstairs game room. Recent paint & carpet. Shaded back yard w/ deck.",30.43180847,-97.83348846,1,0,1,0,439900,8015,3381,4,4,2,130
2403 Apple Valley Cir,78747,"A stately & exquisitely designed community 11 miles from the heart of downtown Austin. Nestled on a large cul-de-sac lot, you will enjoy the view of the pond at Sullivan Park as you turn the corner to make your way home. The Onion Creek Club just down the street offers 27 holes of golf (Jimmy Demaret & Ben Crenshaw design), swimming and tennis.  This neighborhood with it's lush greenery is very unique in the Austin metro area, and this beautiful remodel is a MUST SEE. (Not in FEMA floodplain.) Sprinkler Sys:Yes",30.13819313,-97.79068756,1,1,1,2,424900,13503.6,1850,2,4,1,230
10505 Sunday Dr,78747,"10505 Sunday Dr, Austin, TX 78747 is a single family home that contains 2,112 sq ft and was built in 2015. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $328,354. The Rent Zestimate for this home is $1,995/mo. ",30.13712502,-97.76650238,1,0,1,0,277000,6098,2112,3,4,2,131
1913 W 37th St,78731,"1913 W 37th St, Austin, TX 78731 is a single family home that contains 1,149 sq ft and was built in 1942. It contains 2 bedrooms and 1 bathroom. 
 
The Zestimate for this house is $723,629. The Rent Zestimate for this home is $2,295/mo. ",30.31048012,-97.7551651,1,0,1,0,749000,6969,1149,1,2,1,652
6706 Poncha Pass,78749,"If you are looking for a home with a pool in an established neighborhood w/ large oak trees in great school districts, this is it! Master bed on the main floor w/ 3 bedrooms upstairs, one bedroom could be a bonus room.  Downstairs has stained concrete floors w/ a grand fireplace and vaulted ceilings. Kitchen was remodeled, granite countertops & stainless steel appliances. Back porch is closed in with 2 double sliding doors. Large backyard with a pool and hot tub, wood deck great for entertaining.",30.2292366,-97.87485504,1,0,1,0,430000,10890,2750,3,4,2,156
4229 Iriona Bnd,78749,"4229 Iriona Bnd, Austin, TX 78749 is a single family home that contains 2,206 sq ft and was built in 1989. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $446,502. The Rent Zestimate for this home is $2,000/mo. ",30.20015144,-97.85302734,1,0,1,0,375000,6796,2206,3,4,2,170
2312 Spring Wagon Ln,78728,"Well-maintained one-story home in Wells Branch! The private yard has a large deck and is xeriscaped with native Texas plants. Home has stainless steel appliances, updated lighting fixtures and no carpet! Conveniently located near two large parks, amazing walking trails, picnic areas, tennis, basketball courts, dog park & rec center.",30.44487572,-97.68275452,1,0,1,0,285000,7492,1304,2,3,1,219
12305 Innes View Rd,78754,"12305 Innes View Rd, Austin, TX 78754 is a single family home that contains 1,558 sq ft and was built in 2002. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $295,747. The Rent Zestimate for this home is $1,700/mo. ",30.36413193,-97.60878754,1,0,1,0,280000,6098,1558,2,3,1,180
